fato;filhosJuntos;tempoJuntos;diaSemana;periodo;idade;possuiProfissao;escolaridade;tipoLocal;qtdRegAnt
LESOES CORPORAIS RECIPROCAS ;N;24;Domingo;MADRUGADA;43;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;S;252;Domingo;MADRUGADA;45;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;60;Sábado;NOITE;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;7;Sábado;NOITE;31;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;24;Sábado;NOITE;41;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;192;Sábado;TARDE;28;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;55;Sábado;TARDE;40;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;228;Sábado;TARDE;37;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;168;Sábado;MANHA;28;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;4;Sábado;TARDE;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
FURTO ;N;12;Sexta-feira;TARDE;31;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;12;Sábado;MANHA;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL , FURTO ;N;5;Sexta-feira;NOITE;27;S;MEDIO;RESIDENCIA;Mais_que_3_registros
INJURIA REAL ;N;12;Sexta-feira;NOITE;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;N;24;Sexta-feira;NOITE;37;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;120;Sexta-feira;NOITE;36;S;FUNDAMENTAL;CONDOMINIO RESIDENCIAL;Mais_que_3_registros
AMEACA , VIAS DE FATO ;N;2;Quarta-feira;MADRUGADA;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;36;Sexta-feira;MANHA;28;S;FUNDAMENTAL;COMERCIO;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;24;Sábado;NOITE;32;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;72;Quinta-feira;TARDE;28;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;252;Quinta-feira;NOITE;45;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;240;Quinta-feira;NOITE;39;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;S;156;Quinta-feira;NOITE;29;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
